imdb_code,title,return_pct,Adult,Talk-Show,News,Sport,Music,War,Biography,History,Musical,Mystery,Romance,Horror,Short,Documentary,Western,Crime,Family,Comedy,Animation,N/A,Thriller,Sci-Fi,Fantasy,Drama,Adventure,Action,Genre_List
tt0411477,Hellboy II: The Golden Army,94.40977333333332,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,"['Action', 'Adventure', 'Fantasy']"
tt1320253,The Expendables,227.1563097560976,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,"['Action', 'Adventure', 'Thriller']"
tt7713068,Birds of Prey (And the Fantabulous Emancipation…,146.16114634146342,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,"['Action', 'Adventure', 'Comedy']"
tt6932874,The Boss Baby: Family Business,34.73688414634146,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,"['Adventure', 'Animation', 'Comedy']"
tt1392170,The Hunger Games,747.40422375,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,"['Action', 'Adventure', 'Sci-Fi']"
tt1411697,The Hangover Part II,633.4553812500002,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,['Comedy']
tt4116284,The Lego Batman Movie,288.21320000000014,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,"['Action', 'Animation', 'Comedy']"
tt2510894,Hotel Transylvania 2,486.87537249999997,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,"['Adventure', 'Animation', 'Comedy']"
tt5113040,The Secret Life of Pets 2,457.84492250000005,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,"['Adventure', 'Animation', 'Comedy']"
tt2191701,Grown Ups 2,208.77976,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,['Comedy']
tt1615918,Alvin and the Chipmunks: Chipwrecked,336.3606537500001,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,"['Adventure', 'Animation', 'Comedy']"
tt0425061,Get Smart,183.42427,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,"['Action', 'Adventure', 'Comedy']"
tt1130884,Shutter Island,274.32722750000005,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"['Mystery', 'Thriller']"
tt0369436,Four Christmases,110.3894475,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,"['Comedy', 'Drama', 'Romance']"
tt0960731,Bedtime Stories,176.83616875,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,"['Adventure', 'Comedy', 'Family']"
tt1564367,Just Go With It,168.71869125,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,"['Comedy', 'Romance']"
tt1059786,Eagle Eye,125.73157375,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,"['Action', 'Mystery', 'Thriller']"
tt1302067,Yogi Bear,155.9683625,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,"['Adventure', 'Animation', 'Comedy']"
tt1037705,The Book of Eli,98.43852125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,"['Action', 'Adventure', 'Drama']"
tt2713180,Fury,162.89460125000005,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,"['Action', 'Drama', 'War']"
tt6182908,Smallfoot,167.10259125000005,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,"['Adventure', 'Animation', 'Comedy']"
tt1222817,Zookeeper,113.50690625,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,"['Comedy', 'Family', 'Fantasy']"
tt0970416,The Day the Earth Stood Still,196.7129375,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,"['Drama', 'Sci-Fi', 'Thriller']"
tt2935510,Ad Astra,69.29002375,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,"['Adventure', 'Drama', 'Mystery']"
tt0986263,Surrogates,49.58543750000001,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,"['Action', 'Sci-Fi', 'Thriller']"
tt1762399,Walking with Dinosaurs,54.2110525,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,"['Adventure', 'Animation', 'Documentary']"
tt1618442,The Last Witch Hunter,63.52364000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,"['Action', 'Adventure', 'Fantasy']"
tt1921064,Pompeii,35.58629125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,"['Action', 'Adventure', 'Drama']"
tt1723746,Oceans,8.484412500000001,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,"['Animation', 'Comedy', 'Family', 'Music', 'Short']"
tt0344854,Arthur et les Minimoys,41.65717875,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,"['Adventure', 'Animation', 'Comedy']"
tt1397514,Journey 2: The Mysterious Island,302.71666075949366,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,"['Action', 'Adventure', 'Comedy']"
tt0810913,Jack and Jill,90.53065443037974,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,['Comedy']
tt1985966,Cloudy with a Chance of Meatballs 2,251.78544743589745,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,"['Adventure', 'Animation', 'Comedy']"
